A	B	support	confidence	lift
London	Chicago	0.30434783	0.87500000	1.82954545
Chicago	Los Angeles	0.34782609	0.72727273	0.98395722
Los Angeles	Chicago	0.34782609	0.47058824	0.98395722
Chicago	Miami	0.13043478	0.27272727	0.89610390
Miami	Chicago	0.13043478	0.42857143	0.89610390
Chicago	New York	0.43478261	0.90909091	1.22994652
New York	Chicago	0.43478261	0.58823529	1.22994652
Chicago	Orlando	0.26086957	0.54545455	0.89610390
Orlando	Chicago	0.26086957	0.42857143	0.89610390
Chicago	Paris	0.21739130	0.45454545	1.30681818
Paris	Chicago	0.21739130	0.62500000	1.30681818
Chicago	San Francisco	0.30434783	0.63636364	1.12587413
San Francisco	Chicago	0.30434783	0.53846154	1.12587413
Chicago	Toronto	0.17391304	0.36363636	1.19480519
Toronto	Chicago	0.17391304	0.57142857	1.19480519
Chicago	Vancouver	0.17391304	0.36363636	1.39393939
Vancouver	Chicago	0.17391304	0.66666667	1.39393939
Chicago	Washington	0.34782609	0.72727273	1.19480519
Washington	Chicago	0.34782609	0.57142857	1.19480519
D.C.	Dubai	0.17391304	0.28571429	1.09523810
Dubai	D.C.	0.17391304	0.66666667	1.09523810
D.C.	Hong Kong	0.17391304	0.28571429	1.64285714
Hong Kong	D.C.	0.17391304	1.00000000	1.64285714
D.C.	Honolulu	0.17391304	0.28571429	0.73015873
Honolulu	D.C.	0.17391304	0.44444444	0.73015873
D.C.	Las Vegas	0.43478261	0.71428571	1.02678571
Las Vegas	D.C.	0.43478261	0.62500000	1.02678571
D.C.	London	0.26086957	0.42857143	1.23214286
London	D.C.	0.26086957	0.75000000	1.23214286
D.C.	Los Angeles	0.39130435	0.64285714	0.86974790
Los Angeles	D.C.	0.39130435	0.52941176	0.86974790
D.C.	Miami	0.26086957	0.42857143	1.40816327
Miami	D.C.	0.26086957	0.85714286	1.40816327
D.C.	New York	0.43478261	0.71428571	0.96638655
New York	D.C.	0.43478261	0.58823529	0.96638655
D.C.	Orlando	0.39130435	0.64285714	1.05612245
Orlando	D.C.	0.39130435	0.64285714	1.05612245
D.C.	Paris	0.26086957	0.42857143	1.23214286
Paris	D.C.	0.26086957	0.75000000	1.23214286
D.C.	Rome	0.17391304	0.28571429	1.64285714
Rome	D.C.	0.17391304	1.00000000	1.64285714
D.C.	San Francisco	0.30434783	0.50000000	0.88461538
San Francisco	D.C.	0.30434783	0.53846154	0.88461538
D.C.	Toronto	0.21739130	0.35714286	1.17346939
Toronto	D.C.	0.21739130	0.71428571	1.17346939
D.C.	Vancouver	0.17391304	0.28571429	1.09523810
Vancouver	D.C.	0.17391304	0.66666667	1.09523810
D.C.	Venice	0.17391304	0.28571429	1.64285714
Venice	D.C.	0.17391304	1.00000000	1.64285714
D.C.	Washington	0.60869565	1.00000000	1.64285714
Washington	D.C.	0.60869565	1.00000000	1.64285714
Dubai	Las Vegas	0.21739130	0.83333333	1.19791667
Las Vegas	Dubai	0.21739130	0.31250000	1.19791667
Dubai	London	0.13043478	0.50000000	1.43750000
London	Dubai	0.13043478	0.37500000	1.43750000
Dubai	Los Angeles	0.21739130	0.83333333	1.12745098
Los Angeles	Dubai	0.21739130	0.29411765	1.12745098
Dubai	New Delhi	0.13043478	0.50000000	3.83333333
New Delhi	Dubai	0.13043478	1.00000000	3.83333333
Dubai	New York	0.26086957	1.00000000	1.35294118
New York	Dubai	0.26086957	0.35294118	1.35294118
Dubai	Orlando	0.17391304	0.66666667	1.09523810
Orlando	Dubai	0.17391304	0.28571429	1.09523810
Dubai	San Francisco	0.13043478	0.50000000	0.88461538
San Francisco	Dubai	0.13043478	0.23076923	0.88461538
Dubai	Washington	0.17391304	0.66666667	1.09523810
Washington	Dubai	0.17391304	0.28571429	1.09523810
Hong Kong	Las Vegas	0.13043478	0.75000000	1.07812500
Hong Kong	San Francisco	0.17391304	1.00000000	1.76923077
San Francisco	Hong Kong	0.17391304	0.30769231	1.76923077
Hong Kong	Venice	0.13043478	0.75000000	4.31250000
Venice	Hong Kong	0.13043478	0.75000000	4.31250000
Hong Kong	Washington	0.17391304	1.00000000	1.64285714
Washington	Hong Kong	0.17391304	0.28571429	1.64285714
Honolulu	Las Vegas	0.30434783	0.77777778	1.11805556
Las Vegas	Honolulu	0.30434783	0.43750000	1.11805556
Honolulu	London	0.13043478	0.33333333	0.95833333
London	Honolulu	0.13043478	0.37500000	0.95833333
Honolulu	Los Angeles	0.34782609	0.88888889	1.20261438
Los Angeles	Honolulu	0.34782609	0.47058824	1.20261438
Honolulu	New York	0.34782609	0.88888889	1.20261438
New York	Honolulu	0.34782609	0.47058824	1.20261438
Honolulu	Orlando	0.30434783	0.77777778	1.27777778
Orlando	Honolulu	0.30434783	0.50000000	1.27777778
Honolulu	Paris	0.13043478	0.33333333	0.95833333
