A	B	support	confidence	lift
Los Angeles	Dubai	0.27272727	0.37500000	1.03125000
Dubai	New Delhi	0.18181818	0.50000000	2.75000000
New Delhi	Dubai	0.18181818	1.00000000	2.75000000
Dubai	New York	0.36363636	1.00000000	1.37500000
New York	Dubai	0.36363636	0.50000000	1.37500000
Dubai	Orlando	0.27272727	0.75000000	1.17857143
Orlando	Dubai	0.27272727	0.42857143	1.17857143
Dubai	San Francisco	0.18181818	0.50000000	0.91666667
San Francisco	Dubai	0.18181818	0.33333333	0.91666667
Dubai	Toronto	0.18181818	0.50000000	1.10000000
Toronto	Dubai	0.18181818	0.40000000	1.10000000
Dubai	Washington D.C.	0.27272727	0.75000000	1.17857143
Washington D.C.	Dubai	0.27272727	0.42857143	1.17857143
Hong Kong	San Francisco	0.18181818	1.00000000	1.83333333
San Francisco	Hong Kong	0.18181818	0.33333333	1.83333333
Hong Kong	Washington D.C.	0.18181818	1.00000000	1.57142857
Washington D.C.	Hong Kong	0.18181818	0.28571429	1.57142857
Honolulu	Las Vegas	0.27272727	0.60000000	1.10000000
Las Vegas	Honolulu	0.27272727	0.50000000	1.10000000
Honolulu	London	0.18181818	0.40000000	1.10000000
London	Honolulu	0.18181818	0.50000000	1.10000000
Honolulu	Los Angeles	0.36363636	0.80000000	1.10000000
Los Angeles	Honolulu	0.36363636	0.50000000	1.10000000
Honolulu	Mexico City	0.18181818	0.40000000	2.20000000
Mexico City	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	Nassau	0.18181818	0.40000000	2.20000000
Nassau	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	New Delhi	0.18181818	0.40000000	2.20000000
New Delhi	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	New York	0.36363636	0.80000000	1.10000000
New York	Honolulu	0.36363636	0.50000000	1.10000000
Honolulu	Orlando	0.36363636	0.80000000	1.25714286
Orlando	Honolulu	0.36363636	0.57142857	1.25714286
Honolulu	San Juan	0.18181818	0.40000000	2.20000000
San Juan	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	Toronto	0.27272727	0.60000000	1.32000000
Toronto	Honolulu	0.27272727	0.60000000	1.32000000
Honolulu	Washington D.C.	0.18181818	0.40000000	0.62857143
Washington D.C.	Honolulu	0.18181818	0.28571429	0.62857143
Las Vegas	London	0.27272727	0.50000000	1.37500000
London	Las Vegas	0.27272727	0.75000000	1.37500000
Las Vegas	Los Angeles	0.45454545	0.83333333	1.14583333
Los Angeles	Las Vegas	0.45454545	0.62500000	1.14583333
Las Vegas	Nassau	0.18181818	0.33333333	1.83333333
Nassau	Las Vegas	0.18181818	1.00000000	1.83333333
Las Vegas	New Delhi	0.18181818	0.33333333	1.83333333
New Delhi	Las Vegas	0.18181818	1.00000000	1.83333333
Las Vegas	New York	0.45454545	0.83333333	1.14583333
New York	Las Vegas	0.45454545	0.62500000	1.14583333
Las Vegas	Orlando	0.27272727	0.50000000	0.78571429
Orlando	Las Vegas	0.27272727	0.42857143	0.78571429
Las Vegas	San Francisco	0.27272727	0.50000000	0.91666667
San Francisco	Las Vegas	0.27272727	0.50000000	0.91666667
Las Vegas	San Juan	0.18181818	0.33333333	1.83333333
San Juan	Las Vegas	0.18181818	1.00000000	1.83333333
Las Vegas	Toronto	0.36363636	0.66666667	1.46666667
Toronto	Las Vegas	0.36363636	0.80000000	1.46666667
Las Vegas	Vancouver	0.18181818	0.33333333	1.83333333
Vancouver	Las Vegas	0.18181818	1.00000000	1.83333333
Las Vegas	Washington D.C.	0.36363636	0.66666667	1.04761905
Washington D.C.	Las Vegas	0.36363636	0.57142857	1.04761905
London	Los Angeles	0.27272727	0.75000000	1.03125000
Los Angeles	London	0.27272727	0.37500000	1.03125000
London	Miami	0.18181818	0.50000000	1.83333333
Miami	London	0.18181818	0.66666667	1.83333333
London	New York	0.36363636	1.00000000	1.37500000
New York	London	0.36363636	0.50000000	1.37500000
London	Orlando	0.18181818	0.50000000	0.78571429
Orlando	London	0.18181818	0.28571429	0.78571429
London	Paris	0.18181818	0.50000000	2.75000000
Paris	London	0.18181818	1.00000000	2.75000000
London	San Francisco	0.18181818	0.50000000	0.91666667
San Francisco	London	0.18181818	0.33333333	0.91666667
London	Toronto	0.27272727	0.75000000	1.65000000
Toronto	London	0.27272727	0.60000000	1.65000000
London	Washington D.C.	0.27272727	0.75000000	1.17857143
Washington D.C.	London	0.27272727	0.42857143	1.17857143
