A	B	support	confidence	lift
Chicago	Cancun	0.42857143	0.75000000	1.75000000
Cancun	Hong Kong	0.14285714	0.33333333	1.16666667
Hong Kong	Cancun	0.14285714	0.50000000	1.16666667
Cancun	Honolulu	0.14285714	0.33333333	2.33333333
Honolulu	Cancun	0.14285714	1.00000000	2.33333333
Cancun	Las Vegas	0.42857143	1.00000000	1.00000000
Las Vegas	Cancun	0.42857143	0.42857143	1.00000000
Cancun	London	0.14285714	0.33333333	1.16666667
London	Cancun	0.14285714	0.50000000	1.16666667
Cancun	Los Angeles	0.14285714	0.33333333	0.46666667
Los Angeles	Cancun	0.14285714	0.20000000	0.46666667
Cancun	Miami	0.14285714	0.33333333	1.16666667
Miami	Cancun	0.14285714	0.50000000	1.16666667
Cancun	New York	0.28571429	0.66666667	0.93333333
New York	Cancun	0.28571429	0.40000000	0.93333333
Cancun	Orlando	0.14285714	0.33333333	1.16666667
Orlando	Cancun	0.14285714	0.50000000	1.16666667
Cancun	Paris	0.14285714	0.33333333	1.16666667
Paris	Cancun	0.14285714	0.50000000	1.16666667
Cancun	San Francisco	0.28571429	0.66666667	0.93333333
San Francisco	Cancun	0.28571429	0.40000000	0.93333333
Cancun	Toronto	0.14285714	0.33333333	1.16666667
Toronto	Cancun	0.14285714	0.50000000	1.16666667
Cancun	Vancouver	0.28571429	0.66666667	2.33333333
Vancouver	Cancun	0.28571429	1.00000000	2.33333333
Cancun	Venice	0.14285714	0.33333333	1.16666667
Venice	Cancun	0.14285714	0.50000000	1.16666667
Cancun	Washington D.C.	0.28571429	0.66666667	1.16666667
Washington D.C.	Cancun	0.28571429	0.50000000	1.16666667
Chicago	Hong Kong	0.14285714	0.25000000	0.87500000
Hong Kong	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Honolulu	0.14285714	0.25000000	1.75000000
Honolulu	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Las Vegas	0.57142857	1.00000000	1.00000000
Las Vegas	Chicago	0.57142857	0.57142857	1.00000000
Chicago	London	0.14285714	0.25000000	0.87500000
London	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Los Angeles	0.28571429	0.50000000	0.70000000
Los Angeles	Chicago	0.28571429	0.40000000	0.70000000
Chicago	Miami	0.14285714	0.25000000	0.87500000
Miami	Chicago	0.14285714	0.50000000	0.87500000
Chicago	New York	0.42857143	0.75000000	1.05000000
New York	Chicago	0.42857143	0.60000000	1.05000000
Chicago	Orlando	0.14285714	0.25000000	0.87500000
Orlando	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Paris	0.14285714	0.25000000	0.87500000
Paris	Chicago	0.14285714	0.50000000	0.87500000
Chicago	San Francisco	0.42857143	0.75000000	1.05000000
San Francisco	Chicago	0.42857143	0.60000000	1.05000000
Chicago	Seoul	0.14285714	0.25000000	1.75000000
Seoul	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Tokyo	0.14285714	0.25000000	0.87500000
Tokyo	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Toronto	0.28571429	0.50000000	1.75000000
Toronto	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Vancouver	0.28571429	0.50000000	1.75000000
Vancouver	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Venice	0.14285714	0.25000000	0.87500000
Venice	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Washington D.C.	0.42857143	0.75000000	1.31250000
Washington D.C.	Chicago	0.42857143	0.75000000	1.31250000
Dubai	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Dubai	0.14285714	0.50000000	1.75000000
Dubai	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Dubai	0.28571429	0.28571429	1.00000000
Dubai	London	0.14285714	0.50000000	1.75000000
London	Dubai	0.14285714	0.50000000	1.75000000
Dubai	Los Angeles	0.28571429	1.00000000	1.40000000
Los Angeles	Dubai	0.28571429	0.40000000	1.40000000
Dubai	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Dubai	0.14285714	1.00000000	3.50000000
Dubai	Miami	0.14285714	0.50000000	1.75000000
Miami	Dubai	0.14285714	0.50000000	1.75000000
Dubai	New Delhi	0.14285714	0.50000000	3.50000000
New Delhi	Dubai	0.14285714	1.00000000	3.50000000
Dubai	New York	0.14285714	0.50000000	0.70000000
New York	Dubai	0.14285714	0.20000000	0.70000000
Dubai	Orlando	0.14285714	0.50000000	1.75000000
Orlando	Dubai	0.14285714	0.50000000	1.75000000
Dubai	Paris	0.14285714	0.50000000	1.75000000
Paris	Dubai	0.14285714	0.50000000	1.75000000
Dubai	Rome	0.14285714	0.50000000	3.50000000
Rome	Dubai	0.14285714	1.00000000	3.50000000
Dubai	San Francisco	0.14285714	0.50000000	0.70000000
San Francisco	Dubai	0.14285714	0.20000000	0.70000000
Dubai	Singapore	0.28571429	1.00000000	3.50000000
Singapore	Dubai	0.28571429	1.00000000	3.50000000
Dubai	Venice	0.14285714	0.50000000	1.75000000
Venice	Dubai	0.14285714	0.50000000	1.75000000
Dubai	Washington D.C.	0.14285714	0.50000000	0.87500000
Washington D.C.	Dubai	0.14285714	0.25000000	0.87500000
Hong Kong	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Hong Kong	0.28571429	0.28571429	1.00000000
Hong Kong	London	0.14285714	0.50000000	1.75000000
London	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Hong Kong	0.14285714	0.20000000	0.70000000
Hong Kong	New Delhi	0.14285714	0.50000000	3.50000000
New Delhi	Hong Kong	0.14285714	1.00000000	3.50000000
Hong Kong	Paris	0.14285714	0.50000000	1.75000000
Paris	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Hong Kong	0.28571429	0.40000000	1.40000000
Hong Kong	Singapore	0.14285714	0.50000000	1.75000000
Singapore	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Vancouver	0.14285714	0.50000000	1.75000000
Vancouver	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Venice	0.14285714	0.50000000	1.75000000
Venice	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Washington D.C.	0.14285714	0.50000000	0.87500000
Washington D.C.	Hong Kong	0.14285714	0.25000000	0.87500000
Honolulu	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	Honolulu	0.14285714	0.14285714	1.00000000
Honolulu	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	Honolulu	0.14285714	0.20000000	1.40000000
Honolulu	New York	0.14285714	1.00000000	1.40000000
New York	Honolulu	0.14285714	0.20000000	1.40000000
Honolulu	San Francisco	0.14285714	1.00000000	1.40000000
San Francisco	Honolulu	0.14285714	0.20000000	1.40000000
Honolulu	Vancouver	0.14285714	1.00000000	3.50000000
Vancouver	Honolulu	0.14285714	0.50000000	3.50000000
Las Vegas	London	0.28571429	0.28571429	1.00000000
London	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Los Angeles	0.71428571	0.71428571	1.00000000
Los Angeles	Las Vegas	0.71428571	1.00000000	1.00000000
Las Vegas	Madrid	0.14285714	0.14285714	1.00000000
Madrid	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	Miami	0.28571429	0.28571429	1.00000000
Miami	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	New Delhi	0.14285714	0.14285714	1.00000000
New Delhi	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	New York	0.71428571	0.71428571	1.00000000
New York	Las Vegas	0.71428571	1.00000000	1.00000000
Las Vegas	Orlando	0.28571429	0.28571429	1.00000000
Orlando	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Paris	0.28571429	0.28571429	1.00000000
Paris	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Rome	0.14285714	0.14285714	1.00000000
Rome	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	San Francisco	0.71428571	0.71428571	1.00000000
San Francisco	Las Vegas	0.71428571	1.00000000	1.00000000
Las Vegas	Seoul	0.14285714	0.14285714	1.00000000
Seoul	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	Singapore	0.28571429	0.28571429	1.00000000
Singapore	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Tokyo	0.28571429	0.28571429	1.00000000
Tokyo	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Toronto	0.28571429	0.28571429	1.00000000
Toronto	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Vancouver	0.28571429	0.28571429	1.00000000
Vancouver	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Venice	0.28571429	0.28571429	1.00000000
Venice	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Washington D.C.	0.57142857	0.57142857	1.00000000
Washington D.C.	Las Vegas	0.57142857	1.00000000	1.00000000
London	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	London	0.14285714	0.20000000	0.70000000
London	Madrid	0.14285714	0.50000000	3.50000000
Madrid	London	0.14285714	1.00000000	3.50000000
London	Miami	0.14285714	0.50000000	1.75000000
Miami	London	0.14285714	0.50000000	1.75000000
London	New York	0.14285714	0.50000000	0.70000000
New York	London	0.14285714	0.20000000	0.70000000
London	Orlando	0.14285714	0.50000000	1.75000000
Orlando	London	0.14285714	0.50000000	1.75000000
London	Paris	0.28571429	1.00000000	3.50000000
Paris	London	0.28571429	1.00000000	3.50000000
London	Rome	0.14285714	0.50000000	3.50000000
Rome	London	0.14285714	1.00000000	3.50000000
London	San Francisco	0.14285714	0.50000000	0.70000000
San Francisco	London	0.14285714	0.20000000	0.70000000
London	Singapore	0.14285714	0.50000000	1.75000000
Singapore	London	0.14285714	0.50000000	1.75000000
London	Toronto	0.14285714	0.50000000	1.75000000
Toronto	London	0.14285714	0.50000000	1.75000000
London	Vancouver	0.14285714	0.50000000	1.75000000
Vancouver	London	0.14285714	0.50000000	1.75000000
London	Venice	0.28571429	1.00000000	3.50000000
Venice	London	0.28571429	1.00000000	3.50000000
London	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	London	0.28571429	0.50000000	1.75000000
Los Angeles	Madrid	0.14285714	0.20000000	1.40000000
Madrid	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	Miami	0.14285714	0.20000000	0.70000000
Miami	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	New Delhi	0.14285714	0.20000000	1.40000000
New Delhi	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	New York	0.57142857	0.80000000	1.12000000
New York	Los Angeles	0.57142857	0.80000000	1.12000000
Los Angeles	Orlando	0.14285714	0.20000000	0.70000000
Orlando	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Paris	0.14285714	0.20000000	0.70000000
Paris	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Rome	0.14285714	0.20000000	1.40000000
Rome	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	San Francisco	0.57142857	0.80000000	1.12000000
San Francisco	Los Angeles	0.57142857	0.80000000	1.12000000
Los Angeles	Seoul	0.14285714	0.20000000	1.40000000
Seoul	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	Singapore	0.28571429	0.40000000	1.40000000
Singapore	Los Angeles	0.28571429	1.00000000	1.40000000
Los Angeles	Tokyo	0.28571429	0.40000000	1.40000000
Tokyo	Los Angeles	0.28571429	1.00000000	1.40000000
Los Angeles	Toronto	0.14285714	0.20000000	0.70000000
Toronto	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Vancouver	0.14285714	0.20000000	0.70000000
Vancouver	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Venice	0.14285714	0.20000000	0.70000000
Venice	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Washington D.C.	0.28571429	0.40000000	0.70000000
Washington D.C.	Los Angeles	0.28571429	0.50000000	0.70000000
Madrid	Miami	0.14285714	1.00000000	3.50000000
Miami	Madrid	0.14285714	0.50000000	3.50000000
Madrid	New York	0.14285714	1.00000000	1.40000000
New York	Madrid	0.14285714	0.20000000	1.40000000
Madrid	Orlando	0.14285714	1.00000000	3.50000000
Orlando	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Paris	0.14285714	1.00000000	3.50000000
Paris	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Rome	0.14285714	1.00000000	7.00000000
Rome	Madrid	0.14285714	1.00000000	7.00000000
Madrid	Singapore	0.14285714	1.00000000	3.50000000
Singapore	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Venice	0.14285714	1.00000000	3.50000000
Venice	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Washington D.C.	0.14285714	1.00000000	1.75000000
Washington D.C.	Madrid	0.14285714	0.25000000	1.75000000
Miami	New York	0.28571429	1.00000000	1.40000000
New York	Miami	0.28571429	0.40000000	1.40000000
Miami	Orlando	0.28571429	1.00000000	3.50000000
Orlando	Miami	0.28571429	1.00000000	3.50000000
Miami	Paris	0.14285714	0.50000000	1.75000000
Paris	Miami	0.14285714	0.50000000	1.75000000
Miami	Rome	0.14285714	0.50000000	3.50000000
Rome	Miami	0.14285714	1.00000000	3.50000000
Miami	Singapore	0.14285714	0.50000000	1.75000000
Singapore	Miami	0.14285714	0.50000000	1.75000000
Miami	Venice	0.14285714	0.50000000	1.75000000
Venice	Miami	0.14285714	0.50000000	1.75000000
Miami	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Miami	0.28571429	0.50000000	1.75000000
New Delhi	San Francisco	0.14285714	1.00000000	1.40000000
San Francisco	New Delhi	0.14285714	0.20000000	1.40000000
New Delhi	Singapore	0.14285714	1.00000000	3.50000000
Singapore	New Delhi	0.14285714	0.50000000	3.50000000
New York	Orlando	0.28571429	0.40000000	1.40000000
Orlando	New York	0.28571429	1.00000000	1.40000000
New York	Paris	0.14285714	0.20000000	0.70000000
Paris	New York	0.14285714	0.50000000	0.70000000
New York	Rome	0.14285714	0.20000000	1.40000000
Rome	New York	0.14285714	1.00000000	1.40000000
New York	San Francisco	0.42857143	0.60000000	0.84000000
San Francisco	New York	0.42857143	0.60000000	0.84000000
New York	Seoul	0.14285714	0.20000000	1.40000000
Seoul	New York	0.14285714	1.00000000	1.40000000
New York	Singapore	0.14285714	0.20000000	0.70000000
Singapore	New York	0.14285714	0.50000000	0.70000000
New York	Tokyo	0.28571429	0.40000000	1.40000000
Tokyo	New York	0.28571429	1.00000000	1.40000000
New York	Toronto	0.14285714	0.20000000	0.70000000
Toronto	New York	0.14285714	0.50000000	0.70000000
New York	Vancouver	0.14285714	0.20000000	0.70000000
Vancouver	New York	0.14285714	0.50000000	0.70000000
New York	Venice	0.14285714	0.20000000	0.70000000
Venice	New York	0.14285714	0.50000000	0.70000000
New York	Washington D.C.	0.42857143	0.60000000	1.05000000
Washington D.C.	New York	0.42857143	0.75000000	1.05000000
Orlando	Paris	0.14285714	0.50000000	1.75000000
Paris	Orlando	0.14285714	0.50000000	1.75000000
Orlando	Rome	0.14285714	0.50000000	3.50000000
Rome	Orlando	0.14285714	1.00000000	3.50000000
Orlando	Singapore	0.14285714	0.50000000	1.75000000
Singapore	Orlando	0.14285714	0.50000000	1.75000000
Orlando	Venice	0.14285714	0.50000000	1.75000000
Venice	Orlando	0.14285714	0.50000000	1.75000000
Orlando	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Orlando	0.28571429	0.50000000	1.75000000
Paris	Rome	0.14285714	0.50000000	3.50000000
Rome	Paris	0.14285714	1.00000000	3.50000000
Paris	San Francisco	0.14285714	0.50000000	0.70000000
San Francisco	Paris	0.14285714	0.20000000	0.70000000
Paris	Singapore	0.14285714	0.50000000	1.75000000
Singapore	Paris	0.14285714	0.50000000	1.75000000
Paris	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Paris	0.14285714	0.50000000	1.75000000
Paris	Vancouver	0.14285714	0.50000000	1.75000000
Vancouver	Paris	0.14285714	0.50000000	1.75000000
Paris	Venice	0.28571429	1.00000000	3.50000000
Venice	Paris	0.28571429	1.00000000	3.50000000
Paris	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Paris	0.28571429	0.50000000	1.75000000
Rome	Singapore	0.14285714	1.00000000	3.50000000
Singapore	Rome	0.14285714	0.50000000	3.50000000
Rome	Venice	0.14285714	1.00000000	3.50000000
Venice	Rome	0.14285714	0.50000000	3.50000000
Rome	Washington D.C.	0.14285714	1.00000000	1.75000000
Washington D.C.	Rome	0.14285714	0.25000000	1.75000000
San Francisco	Seoul	0.14285714	0.20000000	1.40000000
Seoul	San Francisco	0.14285714	1.00000000	1.40000000
San Francisco	Singapore	0.14285714	0.20000000	0.70000000
Singapore	San Francisco	0.14285714	0.50000000	0.70000000
San Francisco	Tokyo	0.28571429	0.40000000	1.40000000
Tokyo	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Toronto	0.28571429	0.40000000	1.40000000
Toronto	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Vancouver	0.28571429	0.40000000	1.40000000
Vancouver	San Francisco	0.28571429	1.00000000	1.40000000
