A	B	support	confidence	lift
Berlin	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Boston	0.14285714	0.50000000	1.16666667
Boston	Bangkok	0.14285714	0.33333333	1.16666667
Bangkok	Cancun	0.14285714	0.50000000	0.87500000
Cancun	Bangkok	0.14285714	0.25000000	0.87500000
Bangkok	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Bangkok	0.28571429	0.50000000	1.75000000
Bangkok	Dubai	0.14285714	0.50000000	3.50000000
Dubai	Bangkok	0.14285714	1.00000000	3.50000000
Bangkok	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Las Vegas	0.28571429	1.00000000	1.16666667
Las Vegas	Bangkok	0.28571429	0.33333333	1.16666667
Bangkok	London	0.28571429	1.00000000	2.33333333
London	Bangkok	0.28571429	0.66666667	2.33333333
Bangkok	Los Angeles	0.28571429	1.00000000	1.00000000
Los Angeles	Bangkok	0.28571429	0.28571429	1.00000000
Bangkok	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Bangkok	0.14285714	1.00000000	3.50000000
Bangkok	Miami	0.14285714	0.50000000	1.16666667
Miami	Bangkok	0.14285714	0.33333333	1.16666667
Bangkok	Montreal	0.14285714	0.50000000	1.75000000
Montreal	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	New Delhi	0.14285714	0.50000000	3.50000000
New Delhi	Bangkok	0.14285714	1.00000000	3.50000000
Bangkok	New York	0.28571429	1.00000000	1.40000000
New York	Bangkok	0.28571429	0.40000000	1.40000000
Bangkok	Orlando	0.14285714	0.50000000	0.58333333
Orlando	Bangkok	0.14285714	0.16666667	0.58333333
Bangkok	Paris	0.14285714	0.50000000	0.70000000
Paris	Bangkok	0.14285714	0.20000000	0.70000000
Bangkok	Rome	0.14285714	0.50000000	1.16666667
Rome	Bangkok	0.14285714	0.33333333	1.16666667
Bangkok	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Bangkok	0.28571429	0.40000000	1.40000000
Bangkok	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Bangkok	0.14285714	1.00000000	3.50000000
Bangkok	Sydney	0.14285714	0.50000000	1.16666667
Sydney	Bangkok	0.14285714	0.33333333	1.16666667
Bangkok	Tokyo	0.14285714	0.50000000	1.75000000
Tokyo	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Venice	0.14285714	0.50000000	1.75000000
Venice	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Washington D.C.	0.14285714	0.50000000	0.87500000
Washington D.C.	Bangkok	0.14285714	0.25000000	0.87500000
Barcelona	Beijing	0.14285714	1.00000000	2.33333333
Beijing	Barcelona	0.14285714	0.33333333	2.33333333
Barcelona	Berlin	0.14285714	1.00000000	3.50000000
Berlin	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Boston	0.14285714	1.00000000	2.33333333
Boston	Barcelona	0.14285714	0.33333333	2.33333333
Barcelona	Cancun	0.14285714	1.00000000	1.75000000
Cancun	Barcelona	0.14285714	0.25000000	1.75000000
Barcelona	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Barcelona	0.14285714	0.25000000	1.75000000
Barcelona	Hong Kong	0.14285714	1.00000000	3.50000000
Hong Kong	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Las Vegas	0.14285714	1.00000000	1.16666667
Las Vegas	Barcelona	0.14285714	0.16666667	1.16666667
Barcelona	London	0.14285714	1.00000000	2.33333333
London	Barcelona	0.14285714	0.33333333	2.33333333
Barcelona	Los Angeles	0.14285714	1.00000000	1.00000000
Los Angeles	Barcelona	0.14285714	0.14285714	1.00000000
